,parish,municipality,parish_old,matched_parish
54701,Wirserum,Kalmar lan ,Wirserum,Virserum
54706,Tornesfalla,Kalmar lan ,Tornesfalla,Tornsfall
54711,Repplinge,Kalmar lan ,Repplinge,Rapplinge
54720,Vimmerby,Kalmar lan ,Vimmerby,Vimmerby
54725,Kartlosa,Kalmar lan ,Kartlosa,Kastlosa
54731,Mockleby,Kalmar lan ,Mockleby,Mockleby
54734,Vickleby,Kalmar lan ,Vickleby,Vickleby
54746,Kraksmala,Kalmar lan ,Kraksmala,Kraksmala
54750,Morby- langa,Kalmar lan ,Morby- langa,Morbylanga
54752,Visserum,Kalmar lan ,Visserum,Virserum
54784,Hogby,Kalmar lan ,Hogby,Hogby
54807,Rum- skulla,Kalmar lan ,Rum- skulla,Rumskulla
54815,Kristdala,Kalmar lan ,Kristdala,Kristdala
54854,Dalhem,Kalmar lan ,Dalhem,Dalhem
54859,Forlosa,Kalmar lan ,Forlosa,Forlosa
54868,Resmo,Kalmar lan ,Resmo,Resmo
54877,Madesjo,Kalmar lan ,Madesjo,Madesjo
54881,Klackesberga,Kalmar lan ,Klackesberga,Klackeberga
54889,Halltorp,Kalmar lan ,Halltorp,Halltorp
54920,Langemala,Kalmar lan ,Langemala,Langemala
54924,Tveta,Kalmar lan ,Tveta,Tveta
54929,Karlslunda,Kalmar lan ,Karlslunda,Karlslunda
54931,Jareda,Kalmar lan ,Jareda,Jareda
55005,Ryssby,Kalmar lan ,Ryssby,Ryssby
55016,Mortorp,Kalmar lan ,Mortorp,Mortorp
55023,Backebo,Kalmar lan ,Backebo,Backebo
55034,Locknevi,Kalmar lan ,Locknevi,Locknevi
55070,Krisdala,Kalmar lan ,Krisdala,Kristdala
55104,Hjorted,Kalmar lan ,Hjorted,Hjorted
55165,Krist- dala,Kalmar lan ,Krist- dala,Kristdala
56272,Hassleholm,Kristianstads lan ,Hassleholm,Hassleholm
56273,Vinslof,Kristianstads lan ,Vinslof,Vinslov
56275,Ljungby,Kristianstads lan ,Ljungby,Ljungby
56277,Osterslof,Kristianstads lan ,Osterslof,Osterslov
56278,Tomelilla,Kristianstads lan ,Tomelilla,Tomelilla
56281,Bastad,Kristianstads lan ,Bastad,Bastad
56287,Ahus,Kristianstads lan ,Ahus,Ahus
56292,Klippan,Kristianstads lan ,Klippan,Klippan
56294,Orkel- ljunga,Kristianstads lan ,Orkel- ljunga,Orkelljunga
56296,Brosarp,Kristianstads lan ,Brosarp,Brosarp
56297,Vrams,Kristianstads lan ,Vrams,Vram
56302,Fjalkinge,Kristianstads lan ,Fjalkinge,Fjalkinge
56322,Rebbelberga,Kristianstads lan ,Rebbelberga,Rebbelberga
56325,Strofvelstorp,Kristianstads lan ,Strofvelstorp,Strovelstorp
56327,Herrestad,Kristianstads lan ,Herrestad,Herrestad
56328,Skepparslof,Kristianstads lan ,Skepparslof,Skepparslov
56333,Ifveltofta,Kristianstads lan ,Ifveltofta,Ivetofta
56340,Ousby,Kristianstads lan ,Ousby,Osby
56342,Sorby,Kristianstads lan ,Sorby,Sorby
56346,Gumlosa,Kristianstads lan ,Gumlosa,Gumlosa
56360,Hjarnarp,Kristianstads lan ,Hjarnarp,Hjarnarp
56362,Kvi- dinge,Kristianstads lan ,Kvi- dinge,Kvidinge
56364,Barkakra,Kristianstads lan ,Barkakra,Barkakra
56365,Orkened,Kristianstads lan ,Orkened,Orkened
56369,Ossjo,Kristianstads lan ,Ossjo,Ossjo
56377,Hoja,Kristianstads lan ,Hoja,Hoja
56381,Simris,Kristianstads lan ,Simris,Simris
56384,Riseberga,Kristianstads lan ,Riseberga,Riseberga
56393,Borrby,Kristianstads lan ,Borrby,Borrby
56394,Hammen- hog,Kristianstads lan ,Hammen- hog,Hammenhog
56399,Lonshult,Kristianstads lan ,Lonshult,Loshult
56412,Hammenhog,Kristianstads lan ,Hammenhog,Hammenhog
56414,Karup,Kristianstads lan ,Karup,Karup
56434,Degeberga,Kristianstads lan ,Degeberga,Degeberga
56436,Kviinge,Kristianstads lan ,Kviinge,Kviinge
56447,Smedstorp,Kristianstads lan ,Smedstorp,Smedstorp
56448,Vanga,Kristianstads lan ,Vanga,Vanga
56464,Brannestad,Kristianstads lan ,Brannestad,Bronnestad
56470,Strovelstorp,Kristianstads lan ,Strovelstorp,Strovelstorp
56483,Stoby,Kristianstads lan ,Stoby,Stoby
56498,Efverod,Kristianstads lan ,Efverod,Everod
56499,Hjarsa,Kristianstads lan ,Hjarsa,Hjarsas
56500,Oppmanna,Kristianstads lan ,Oppmanna,Oppmanna
56524,Glimakra,Kristianstads lan ,Glimakra,Glimakra
56530,Grefvie,Kristianstads lan ,Grefvie,Grevie
56542,Benestad,Kristianstads lan ,Benestad,Benestad
56551,Kvarrestad,Kristianstads lan ,Kvarrestad,Kverrestad
56553,Trane,Kristianstads lan ,Trane,Trane
56556,Hjarsas,Kristianstads lan ,Hjarsas,Hjarsas
56572,Kvidinge,Kristianstads lan ,Kvidinge,Kvidinge
56576,Bjornekulla,Kristianstads lan ,Bjornekulla,Bjornekulla
56580,Ifvetofta,Kristianstads lan ,Ifvetofta,Ivetofta
56594,Torekow,Kristianstads lan ,Torekow,Torekov
56657,Spjutstorp,Kristianstads lan ,Spjutstorp,Spjutstorp
56680,Fjalkestad,Kristianstads lan ,Fjalkestad,Fjalkestad
56688,Finja,Kristianstads lan ,Finja,Finja
56709,Stiby,Kristianstads lan ,Stiby,Stiby
56713,Knislinge,Kristianstads lan ,Knislinge,Knislinge
56720,Hastveda,Kristianstads lan ,Hastveda,Hastveda
56722,Kopinge,Kristianstads lan ,Kopinge,Kopinge
56727,Anslunda,Kristianstads lan ,Anslunda,Onslunda
56729,Tostarp,Kristianstads lan ,Tostarp,Tastarp
56734,Orkelljunga,Kristianstads lan ,Orkelljunga,Orkelljunga
56738,Vallby,Kristianstads lan ,Vallby,Vallby
56753,Perstorp,Kristianstads lan ,Perstorp,Perstorp
56770,Hoby,Kristianstads lan ,Hoby,Hoby
56780,Gladsax,Kristianstads lan ,Gladsax,Gladsax
56786,Onnestad,Kristianstads lan ,Onnestad,Onnestad
56800,Nosaby,Kristianstads lan ,Nosaby,Nosaby
56874,Verum,Kristianstads lan ,Verum,Verum
56897,Rinkaby,Kristianstads lan ,Rinkaby,Rinkaby
56905,Vankiva,Kristianstads lan ,Vankiva,Vankiva
56917,Vittsjo,Kristianstads lan ,Vittsjo,Vittsjo
56959,Vankifva,Kristianstads lan ,Vankifva,Vankiva
56964,Bene- stad,Kristianstads lan ,Bene- stad,Benestad
56981,Forslof,Kristianstads lan ,Forslof,Forslov
56990,Bastad.,Kristianstads lan ,Bastad.,Bastad
56991,Vram,Kristianstads lan ,Vram,Vram
56996,Nymo,Kristianstads lan ,Nymo,Nymo
56999,Glim- akra,Kristianstads lan ,Glim- akra,Glimakra
57011,Fogeltofta,Kristianstads lan ,Fogeltofta,Fageltofta
57043,Bollerup,Kristianstads lan ,Bollerup,Bollerup
57078,VVram,Kristianstads lan ,V. Vram,Vram
57088,Tranas,Kristianstads lan ,Tranas,Tranas
57116,Grydt,Kristianstads lan ,Grydt,Gryt
57139,Hjarnarp,Kristianstads lan ,Hjarn. arp,Hjarnarp
57148,Tosterup,Kristianstads lan ,Tosterup,Tosterup
57153,VKarup,Kristianstads lan ,V. Karup,Karup
57190,Goteryd,Kronobergs lan ,Goteryd,Goteryd
57191,Ryssby,Kronobergs lan ,Ryssby,Ryssby
57193,Elghult,Kronobergs lan ,Elghult,Alghult
57197,Ljungby,Kronobergs lan ,Ljungby,Ljungby
57199,Hofmantorp,Kronobergs lan ,Hofmantorp,Hovmantorp
57201,Ekeberga,Kronobergs lan ,Ekeberga,Ekeberga
57202,Markaryd,Kronobergs lan ,Markaryd,Markaryd
57203,Allmundsryd,Kronobergs lan ,Allmundsryd,Almundsryd
57204,Hornaryd,Kronobergs lan ,Hornaryd,Hornaryd
57206,Sjosas,Kronobergs lan ,Sjosas,Sjosas
57207,Asheda,Kronobergs lan ,Asheda,Aseda
57208,Notteback,Kronobergs lan ,Notteback,Notteback
57212,Tingsas,Kronobergs lan ,Tingsas,Tingsas
57214,Stenbrohult,Kronobergs lan ,Stenbrohult,Stenbrohult
57231,Raflunda,Kristianstads lan ,Raflunda,Ravlunda
57237,Moheda,Kronobergs lan ,Moheda,Moheda
57239,Ojaby,Kronobergs lan ,Ojaby,Ojaby
57242,Bergunda,Kronobergs lan ,Bergunda,Bergunda
57243,Soraby,Kronobergs lan ,Soraby,Soraby
57248,Alfvesta,Kronobergs lan ,Alfvesta,Alvesta
57250,Elmhult,Kronobergs lan ,Elmhult,Almhult
57252,Vislunda,Kronobergs lan ,Vislunda,Vislanda
57254,Nobbeled,Kronobergs lan ,Nobbeled,Nobbele
57258,Vislanda,Kronobergs lan ,Vislanda,Vislanda
57260,Tafvelsas,Kronobergs lan ,Tafvelsas,Tavelsas
57266,Lenhofda,Kronobergs lan ,Lenhofda,Lenhovda
57279,Agunnaryd,Kronobergs lan ,Agunnaryd,Agunnaryd
57280,Lekaryd,Kronobergs lan ,Lekaryd,Lekaryd
57305,Vederslof,Kronobergs lan ,Vederslof,Vederslov
57315,Hamneda,Kronobergs lan ,Hamneda,Hamneda
57325,Annerstad,Kronobergs lan ,Annerstad,Annerstad
57336,Elmeboda,Kronobergs lan ,Elmeboda,Almeboda
57342,Bladinge,Kronobergs lan ,Bladinge,Bladinge
57362,Herrakra,Kronobergs lan ,Herrakra,Herrakra
57363,Hemmesjo,Kronobergs lan ,Hemmesjo,Hemmesjo
57364,Angelstad,Kronobergs lan ,Angelstad,Angelstad
57386,Tjureda,Kronobergs lan ,Tjureda,Tjureda
57394,Slatthog,Kronobergs lan ,Slatthog,Slatthog
57397,Aringsas,Kronobergs lan ,Aringsas,Aringsas
57411,Skatelof,Kronobergs lan ,Skatelof,Skatelov
57413,Zvenneberga,Kronobergs lan ,Zvenneberga,Kvenneberga
57432,Gardsby,Kronobergs lan ,Gardsby,Gardsby
57470,All- mundsryd,Kronobergs lan ,All- mundsryd,Almundsryd
57479,Hemme- sjo,Kronobergs lan ,Hemme- sjo,Hemmesjo
57483,Ljuder,Kronobergs lan ,Ljuder,Ljuder
57521,Vackelsang,Kronobergs lan ,Vackelsang,Vackelsang
57543,Linneryd,Kronobergs lan ,Linneryd,Linneryd
57547,Virestad,Kronobergs lan ,Virestad,Virestad
57561,Urshult,Kronobergs lan ,Urshult,Urshult
57579,Berga,Kronobergs lan ,Berga,Berga
57580,Dadesjo,Kronobergs lan ,Dadesjo,Dadesjo
57590,Jat,Kronobergs lan ,Jat,Jat
57594,Tutaryd,Kronobergs lan ,Tutaryd,Tutaryd
57636,Traheryd,Kronobergs lan ,(Traheryd),Traryd
57688,Hofmanstorp,Kronobergs lan ,Hofmanstorp,Hovmantorp
57694,Traheryd,Kronobergs lan ,Traheryd,Traryd
57729,Tegneby,Kronobergs lan ,Tegneby,Tegnaby
59854,Jukkasjarvi,Norrbottens lan ,Jukkasjarvi,Jukkasjarvi
59900,Gellivare,Norrbottens lan ,Gellivare,Gallivare
59902,Hieta- niemi,Norrbottens lan ,Hieta- niemi,Hietaniemi
59904,Jokkmokk,Norrbottens lan ,Jokkmokk,Jokkmokk
59925,Nederkalix,Norrbottens lan ,Nederkalix,Nederkalix
59931,Malmberget,Norrbottens lan ,Malmberget,Malmberget
59934,Nederlulea,Norrbottens lan ,Nederlulea,Nederlulea
59970,Arjeplog,Norrbottens lan ,Arjeplog,Arjeplog
59976,Arvid- sjaur,Norrbottens lan ,Arvid- sjaur,Arvidsjaur
59978,Tore,Norrbottens lan ,Tore,Tore
59981,Nederlule&,Norrbottens lan ,Nederlule&,Nederlulea
59983,Ofverlulea,Norrbottens lan ,Ofverlulea,Overlulea
59985,Ofverkalix,Norrbottens lan ,Ofverkalix,Overkalix
59986,Neder- lulea,Norrbottens lan ,Neder- lulea,Nederlulea
59988,Porjus,Norrbottens lan ,Porjus,Porjus
59999,Arvidsjaur,Norrbottens lan ,Arvidsjaur,Arvidsjaur
60003,Korpi- lombolo,Norrbottens lan ,Korpi- lombolo,Korpilombolo
60024,Edefors,Norrbottens lan ,Edefors,Edefors
60038,Neder- kalix,Norrbottens lan ,Neder- kalix,Nederkalix
60071,Tarendo,Norrbottens lan ,Tarendo,Tarendo
60073,Korpilom- bolo,Norrbottens lan ,Korpilom- bolo,Korpilombolo
60096,Jukkas- jarvi,Norrbottens lan ,Jukkas- jarvi,Jukkasjarvi
60103,Juk- kasjarvi,Norrbottens lan ,Juk- kasjarvi,Jukkasjarvi
60127,Karesuando,Norrbottens lan ,Karesuando,Karesuando
60137,Hietaniemi,Norrbottens lan ,Hietaniemi,Hietaniemi
60139,Ofvertornea,Norrbottens lan ,Ofvertornea,Overtornea
60152,Ranea,Norrbottens lan ,Ranea,Ranea
60256,Jokk- mokk,Norrbottens lan ,Jokk- mokk,Jokkmokk
60307,Pajala,Norrbottens lan ,Pajala,Pajala
60325,Ofver- lulea,Norrbottens lan ,Ofver- lulea,Overlulea
60361,Huddinge,Stockholms lan,Huddinge,Huddinge
60404,Saltsjobaden,Stockholms lan,Saltsjobaden,Saltsjobaden
60409,Brannkyrka,Stockholms lan,Brannkyrka,Brannkyrka
60411,Botkyrka,Stockholms lan,Botkyrka,Botkyrka
60414,Lidingo,Stockholms lan,Lidingo,Lidingo
60415,Djursholm,Stockholms lan,Djursholm,Djursholm
60425,Solna,Stockholms lan,Solna,Solna
60435,Sundbyberg,Stockholms lan,Sundbyberg,Sundbyberg
60438,Nacka,Stockholms lan,Nacka,Nacka
60439,Danderyd,Stockholms lan,Danderyd,Danderyd
60441,Bromma,Stockholms lan,Bromma,Bromma
60453,Ingaro,Stockholms lan,Ingaro,Ingaro
60463,Ostertalje,Stockholms lan,Ostertalje,Ostertalje
60469,Sanga,Stockholms lan,Sanga,Sanga
60475,Hammarby,Stockholms lan,Hammarby,Hammarby
60476,Vastertalje,Stockholms lan,Vastertalje,Vastertalje
60477,Sodertalje,Stockholms lan,Sodertalje,Sodertalje
60491,Vaxholm,Stockholms lan,Vaxholm,Vaxholm
60492,Norrtalje,Stockholms lan,Norrtalje,Norrtalje
60494,Sundby- berg,Stockholms lan,Sundby- berg,Sundbyberg
60515,Salem,Stockholms lan,Salem,Salem
60525,Rasunda,Stockholms lan,Rasunda,Rasunda
60526,Blido,Stockholms lan,Blido,Blido
60539,Stocksund,Stockholms lan,Stocksund,Stocksund
60550,Fresta,Stockholms lan,Fresta,Fresta
60565,Lidingoo,Stockholms lan,Lidingoo,Lidingo
60585,Tumba,Stockholms lan,Tumba,Tumba
60586,Grodinge,Stockholms lan,Grodinge,Grodinge
60593,Vato,Stockholms lan,Vato,Vato
60627,Ed,Stockholms lan,Ed,Ed
60642,Osterhanninge,Stockholms lan,Osterhanninge,Osterhaninge
60667,Husby-Erlinghundra,Stockholms lan,Husby-Erlinghundra,Husby-arlinghundra
60684,Nynashamn,Stockholms lan,Nynashamn,Nynashamn
60692,Gustafsberg,Stockholms lan,Gustafsberg,Gustavsberg
60694,Vardinge,Stockholms lan,Vardinge,Vardinge
60696,Dalaro,Stockholms lan,Dalaro,Dalaro
60759,Jarfalla,Stockholms lan,Jarfalla,Jarfalla
60786,Taby,Stockholms lan,Taby,Taby
60787,Rimbo,Stockholms lan,Rimbo,Rimbo
60801,Varmdo,Stockholms lan,Varmdo,Varmdo
60830,Ekero,Stockholms lan,Ekero,Ekero
60844,Spanga,Stockholms lan,Spanga,Spanga
60880,Osterhaninge,Stockholms lan,Osterhaninge,Osterhaninge
60885,Karsta,Stockholms lan,Karsta,Karsta
60893,Hafvero,Stockholms lan,Hafvero,Havero
60894,Tveta,Stockholms lan,Tveta,Tveta
60926,Osteraker,Stockholms lan,Osteraker,Osteraker
60989,Saltsjoba- den,Stockholms lan,Saltsjoba- den,Saltsjobaden
61027,Gottroia,Stockholms lan,Gottroia,Gottrora
61042,Syndbyberg,Stockholms lan,Syndbyberg,Sundbyberg
61099,Sigtuna,Stockholms lan,Sigtuna,Sigtuna
61135,Sollentuna,Stockholms lan,Sollentuna,Sollentuna
61178,Djurs- holm,Stockholms lan,Djurs- holm,Djursholm
61235,Vallentuna,Stockholms lan,Vallentuna,Vallentuna
61265,Enskede,Stockholms lan,Enskede,Enskede
61308,Soderbykarl,Stockholms lan,Soderbykarl,Soderby-Karl
61355,Lanna,Stockholms lan,Lanna,Lanna
61366,Vidbo,Stockholms lan,Vidbo,Vidbo
61441,Odensala,Stockholms lan,Odensala,Odensala
61443,Loharad,Stockholms lan,Loharad,Loharad
61537,Lidingo.,Stockholms lan,Lidingo.,Lidingo
61610,Gottrora,Stockholms lan,Gottrora,Gottrora
61617,Skeptuna,Stockholms lan,Skeptuna,Skepptuna
61628,Ytterjarna,Stockholms lan,Ytterjarna,Ytterjarna
61641,Farentuna,Stockholms lan,Farentuna,Farentuna
61669,Edebo,Stockholms lan,Edebo,Edebo
61759,Vaddo,Stockholms lan,Vaddo,Vaddo
61773,Skanella.,Stockholms lan,Skanella.,Skanela
61843,Husby-Langhundra,Stockholms lan,Husby-Langhundra,Husby-arlinghundra
61845,Edsbro,Stockholms lan,Edsbro,Edsbro
61933,Ununge,Stockholms lan,Ununge,Ununge
61961,Tyreso,Stockholms lan,Tyreso,Tyreso
62014,Djursholm.,Stockholms lan,Djursholm.,Djursholm
62032,Musko,Stockholms lan,Musko,Musko
62034,Uto,Stockholms lan,Uto,Uto
62053,Namndo,Stockholms lan,Namndo,Namdo
62062,Hudddinge,Stockholms lan,Hudddinge,Huddinge
62064,Adelso,Stockholms lan,Adelso,Adelso
62080,Markim,Stockholms lan,Markim,Markim
62109,Stock- sund,Stockholms lan,Stock- sund,Stocksund
62223,Estuna,Stockholms lan,Estuna,Estuna
62228,Frotuna,Stockholms lan,Frotuna,Frotuna
62229,Ossebygarn,Stockholms lan,Ossebygarn,Osseby-Garn
62232,Husby-Lyhundra,Stockholms lan,Husby-Lyhundra,Husby-lyhundra
62241,Lunda,Stockholms lan,Lunda,Lunda
62259,DjurshoIm,Stockholms lan,DjurshoIm,Djursholm
62281,Ska,Stockholms lan,Ska,Ska
62290,Ofverjarna,Stockholms lan,Ofverjarna,Overjarna
62341,Frosunda,Stockholms lan,Frosunda,Frosunda
62393,Orkesta,Stockholms lan,Orkesta,Orkesta
62419,Nartuna,Stockholms lan,Nartuna,Nartuna
62583,Ytter-Jarna,Stockholms lan,Ytter-Jarna,Ytterjarna
62688,Djuro,Stockholms lan,Djuro,Djuro
62701,Osmo,Stockholms lan,Osmo,Osmo
62716,Hudinge,Stockholms lan,Hudinge,Huddinge
62740,Munso,Stockholms lan,Munso,Munso
62866,Nartuda,Stockholms lan,Nartuda,Nartuna
62884,Vasterhanninge,Stockholms lan,Vasterhanninge,Vasterhaninge
62932,Vasterhan- ninge,Stockholms lan,Vasterhan- ninge,Vasterhaninge
62939,Thuringe,Stockholms lan,Thuringe,Turinge
63059,Salt- sjobaden,Stockholms lan,Salt- sjobaden,Saltsjobaden
63068,Orno,Stockholms lan,Orno,Orno
63075,Saltsjo- baden,Stockholms lan,Saltsjo- baden,Saltsjobaden
63148,Sund- byberg,Stockholms lan,Sund- byberg,Sundbyberg
63295,Vasterhaninge,Stockholms lan,Vasterhaninge,Vasterhaninge
63363,Lidigo.,Stockholms lan,Lidigo.,Lidingo
63383,Osseby-Garn,Stockholms lan,Osseby-Garn,Osseby-Garn
63448,Oster-Talje,Stockholms lan,Oster-Talje,Ostertalje
63451,Skanella,Stockholms lan,Skanella,Skanela
63610,Ro,Stockholms lan,Ro,Ro
63619,Ljustero,Stockholms lan,Ljustero,Ljustero
63622,Oxelosund,Sodermanlands lan ,Oxelosund,Oxelosund
63624,Ardala,Sodermanlands lan ,Ardala,Ardala
63625,Bjorkvik,Sodermanlands lan ,Bjorkvik,Bjorkvik
63630,Roslagskulla,Stockholms lan,Roslagskulla,Roslags-Kulla
63666,Roslagsbro,Stockholms lan,Roslagsbro,Roslags-Bro
63677,Flen,Sodermanlands lan ,Flen,Flen
63678,Mellosa,Sodermanlands lan ,Mellosa,Mellosa
63680,Hyltinga,Sodermanlands lan ,Hyltinga,Hyltinge
63684,Stigtomta,Sodermanlands lan ,Stigtomta,Stigtomta
63685,Husby-Oppunda,Sodermanlands lan ,Husby-Oppunda,Husby-oppunda
63696,Arila,Sodermanlands lan ,Arila,Arla
63697,Katrineholm,Sodermanlands lan ,Katrineholm,Katrineholm
63701,Bjornlunda,Sodermanlands lan ,Bjornlunda,Bjornlunda
63709,Dunker,Sodermanlands lan ,Dunker,Dunker
63710,Bettna,Sodermanlands lan ,Bettna,Bettna
63711,Nashult,Sodermanlands lan ,Nashult,Nashulta
63713,Nashulta,Sodermanlands lan ,Nashulta,Nashulta
63715,Raby-Rono,Sodermanlands lan ,Raby-Rono,Raby-Rono
63716,Lista,Sodermanlands lan ,Lista,Lista
63717,Skoldinga,Sodermanlands lan ,Skoldinga,Skoldinge
63729,Stenkvista,Sodermanlands lan ,Stenkvista,Stenkvista
63732,Vadsbro,Sodermanlands lan ,Vadsbro,Vadsbro
63733,Helgesta,Sodermanlands lan ,Helgesta,Helgesta
63735,Gryt,Sodermanlands lan ,Gryt,Gryt
63739,Sattersta,Sodermanlands lan ,Sattersta,Sattersta
63748,Svarta,Sodermanlands lan ,Svarta,Svarta
63751,Torshalla,Sodermanlands lan ,Torshalla,Torshalla
63757,Julita,Sodermanlands lan ,Julita,Julita
63762,Selo,Sodermanlands lan ,Selo,Selo
63767,Helgona,Sodermanlands lan ,Helgona,Helgona
63773,Barbo,Sodermanlands lan ,Barbo,Barbo
63784,Husby-Opp- unda,Sodermanlands lan ,Husby-Opp- unda,Husby-oppunda
63788,Runtuna,Sodermanlands lan ,Runtuna,Runtuna
63790,Nykyrka,Sodermanlands lan ,Nykyrka,Nykyrka
63792,Gillberga,Sodermanlands lan ,Gillberga,Gillberga
63797,Barfva,Sodermanlands lan ,Barfva,Barva
63798,Floda,Sodermanlands lan ,Floda,Floda
63809,Ripsa,Sodermanlands lan ,Ripsa,Ripsa
63818,Fogdo,Sodermanlands lan ,Fogdo,Fogdo
63821,Vagnharad,Sodermanlands lan ,Vagnharad,Vagnharad
63832,Skoldringe,Sodermanlands lan ,Skoldringe,Skoldinge
63836,Tumbo,Sodermanlands lan ,Tumbo,Tumbo
63840,Osteraker,Sodermanlands lan ,Osteraker,Osteraker
63845,Ludgo,Sodermanlands lan ,Ludgo,Ludgo
63856,Lerbo,Sodermanlands lan ,Lerbo,Lerbo
63857,Forssa,Sodermanlands lan ,Forssa,Forssa
63868,Bogsta,Sodermanlands lan ,Bogsta,Bogsta
63870,Blacksta,Sodermanlands lan ,Blacksta,Blacksta
63871,Bjorklunda,Sodermanlands lan ,Bjorklunda,Bjornlunda
63886,Toresund,Sodermanlands lan ,Toresund,Toresund
63890,Tystberga,Sodermanlands lan ,Tystberga,Tystberga
63892,Tunaberg,Sodermanlands lan ,Tunaberg,Tunaberg
63893,Balinge,Sodermanlands lan ,Balinge,Balinge
63898,Katrine- holm,Sodermanlands lan ,Katrine- holm,Katrineholm
63902,Nikolai,Sodermanlands lan ,Nikolai,Nikolai
63954,Sundby,Sodermanlands lan ,Sundby,Sundby
63964,Balinga,Sodermanlands lan ,Balinga,Balinge
63965,Halla,Sodermanlands lan ,Halla,Halla
63984,Tuna,Sodermanlands lan ,Tuna,Tuna
63992,Vrena,Sodermanlands lan ,Vrena,Vrena
63999,Skoldinge,Sodermanlands lan ,Skoldinge,Skoldinge
64086,Karnbo,Sodermanlands lan ,Karnbo,Karnbo
64091,Kjula,Sodermanlands lan ,Kjula,Kjula
64114,Lastringe,Sodermanlands lan ,Lastringe,Lastringe
64143,Blacksta,Sodermanlands lan ,"""Blacksta",Blacksta
64145,Harad,Sodermanlands lan ,Harad,Harad
64153,Vesterljung,Sodermanlands lan ,Vesterljung,Vasterljung
64166,Lanna,Sodermanlands lan ,Lanna,Lanna
64168,Hyltinge,Sodermanlands lan ,Hyltinge,Hyltinge
64173,Tuna berg,Sodermanlands lan ,Tuna berg,Tunaberg
64260,Bergsham- mar,Sodermanlands lan ,Bergsham- mar,Bergshammar
64289,Hammarby,Sodermanlands lan ,Hammarby,Hammarby
64341,Aker,Sodermanlands lan ,Aker,Aker
64369,Bjorn- lunda,Sodermanlands lan ,Bjorn- lunda,Bjornlunda
64376,Oja,Sodermanlands lan ,Oja,Oja
64377,Lid,Sodermanlands lan ,Lid,Lid
64411,Upsala,Uppsala lan ,Upsala,Uppsala
64412,Rasbo,Uppsala lan ,Rasbo,Rasbo
64416,Film,Uppsala lan ,Film,Film
64417,Uppsala-Nas,Uppsala lan ,Uppsala-Nas,Uppsala-Nas
64423,Tegelsmora,Uppsala lan ,Tegelsmora,Tegelsmora
64428,Soderfors,Uppsala lan ,Soderfors,Soderfors
64429,Vange,Uppsala lan ,Vange,Vange
64442,Aspo,Sodermanlands lan ,Aspo,Aspo
64458,Hagby,Uppsala lan ,Hagby,Hagby
64460,Holm,Uppsala lan ,Holm,Holm
64471,Alfkarleby,Uppsala lan ,Alfkarleby,Alvkarleby
64474,Tolfta,Uppsala lan ,Tolfta,Tolfta
64483,Gryta,Uppsala lan ,Gryta,Gryta
64487,Uppsala,Uppsala lan ,Uppsala,Uppsala
64489,Lena,Uppsala lan ,Lena,Lena
64491,Giresta,Uppsala lan ,Giresta,Giresta
64501,Jarlasa,Uppsala lan ,Jarlasa,Jarlasa
64505,Film.,Uppsala lan ,Film.,Film
64521,Rasbokil,Uppsala lan ,Rasbokil,Rasbokil
64526,Vendel,Uppsala lan ,Vendel,Vendel
64537,Borje,Uppsala lan ,Borje,Borje
64539,Tierp,Uppsala lan ,Tierp,Tierp
64544,Vaksala,Uppsala lan ,Vaksala,Vaksala
64548,Dannemora,Uppsala lan ,Dannemora,Dannemora
64560,Hallnas,Uppsala lan ,Hallnas,Hallnas
64566,Danne- mora,Uppsala lan ,Danne- mora,Dannemora
64574,Kulla,Uppsala lan ,Kulla,Kulla
64577,Akerby,Uppsala lan ,Akerby,Akerby
64606,Biskopskulla,Uppsala lan ,Biskopskulla,Biskopskulla
64639,Bjorklinge,Uppsala lan ,Bjorklinge,Bjorklinge
64645,Funbo,Uppsala lan ,Funbo,Funbo
64647,Tensta,Uppsala lan ,Tensta,Tensta
64660,Dan- nemora,Uppsala lan ,Dan- nemora,Dannemora
64662,So- derfors,Uppsala lan ,So- derfors,Soderfors
64677,Tuna,Uppsala lan ,Tuna,Tuna
64705,Dalby,Uppsala lan ,Dalby,Dalby
64707,Gillberga,Uppsala lan ,Gillberga,Villberga
65436,Asele,Vasterbottens lan ,Asele,Asele
65437,Bygdea,Vasterbottens lan ,Bygdea,Bygdea
65479,Byske,Vasterbottens lan ,Byske,Byske
65480,Lyck- sele,Vasterbottens lan ,Lyck- sele,Lycksele
65489,Bjurholm,Vasterbottens lan ,Bjurholm,Bjurholm
65492,Nordmaling,Vasterbottens lan ,Nordmaling,Nordmaling
65498,Burtrask,Vasterbottens lan ,Burtrask,Burtrask
65500,Lycksele,Vasterbottens lan ,Lycksele,Lycksele
65503,Lofanger,Vasterbottens lan ,Lofanger,Lovanger
65521,Skellefte&,Vasterbottens lan ,Skellefte&,Skelleftea
65522,Jorn,Vasterbottens lan ,Jorn,Jorn
65524,Vilhelmina,Vasterbottens lan ,Vilhelmina,Vilhelmina
65530,Fredrika,Vasterbottens lan ,Fredrika,Fredrika
65553,Dorotea,Vasterbottens lan ,Dorotea,Dorotea
65566,Sorsele,Vasterbottens lan ,Sorsele,Sorsele
65595,Tarna,Vasterbottens lan ,Tarna,Tarna
65597,Norsjo,Vasterbottens lan ,Norsjo,Norsjo
