,parish,municipality,parish_old,matched_parish
25019,Oster- haninge,Stockholm,Oster- haninge,Osterhaninge
25032,Karsta,Stockholm,Karsta,Karsta
25041,Hafvero,Stockholm,Hafvero,Havero
25043,Tveta,Stockholm,Tveta,Tveta
25070,Saltsjoba- den,Stockholm,Saltsjoba- den,Saltsjobaden
25121,Bot- kyrka,Stockholm,Bot- kyrka,Botkyrka
25145,Adelso,Stockholm,Adelso,Adelso
25179,Saltsjo+ baden,Stockholm,Saltsjo+ baden,Saltsjobaden
25243,Gottrora,Stockholm,Gottrora,Gottrora
25249,Salt- sjobaden,Stockholm,Salt- sjobaden,Saltsjobaden
25347,Sigtuna,Stockholm,Sigtuna,Sigtuna
25420,Djursholn,Stockholm,Djursholn,Djursholm
25457,Estuna,Stockholm,Estuna,Estuna
25483,Osmo,Stockholm,Osmo,Osmo
25532,Namndo,Stockholm,Namndo,Namdo
25555,Norrsunda,Stockholm,Norrsunda,Norrsunda
25570,Vallentuna,Stockholm,Vallentuna,Vallentuna
25589,Vasterhaninge,Stockholm,Vasterhaninge,Vasterhaninge
25627,Soder- talje,Stockholm,Soder- talje,Sodertalje
25636,Enskede,Stockholm,Enskede,Enskede
25689,Soderbykarl,Stockholm,Soderbykarl,Soderby-Karl
25713,Soderby- karl,Stockholm,Soderby- karl,Soderby-Karl
25728,Brannkyrk'a,Stockholm,Brannkyrk'a,Brannkyrka
25840,Djursholm,Stockholm,"""Djursholm",Djursholm
25853,Odensala,Stockholm,Odensala,Odensala
25862,Loharad,Stockholm,Loharad,Loharad
25960,Li- dingo,Stockholm,Li- dingo,Lidingo
25976,Vallen- tuna,Stockholm,Vallen- tuna,Vallentuna
25985,Hammar- by,Stockholm,Hammar- by,Hammarby
26009,Nartuna,Stockholm,Nartuna,Nartuna
26053,Nack'a,Stockholm,Nack'a,Nacka
26101,Skeptuna,Stockholm,Skeptuna,Skepptuna
26116,Ytterjarna,Stockholm,Ytterjarna,Ytterjarna
26141,Farentuna,Stockholm,Farentuna,Farentuna
26247,Sollen- tuna,Stockholm,Sollen- tuna,Sollentuna
26256,Saltsjobaden.,Stockholm,Saltsjobaden.,Saltsjobaden
26351,Skanelia,Stockholm,Skanelia,Skanela
26363,Vada,Stockholm,Vada,Vada
26421,Frotuna,Stockholm,Frotuna,Frotuna
26464,Husby-Langhundra,Stockholm,Husby-Langhundra,Husby-arlinghundra
26609,Munso,Stockholm,Munso,Munso
26614,Hud- dinge,Stockholm,Hud- dinge,Huddinge
26636,Tyreso,Stockholm,Tyreso,Tyreso
26762,Musko,Stockholm,Musko,Musko
26764,Uto,Stockholm,Uto,Uto
26866,Markim,Stockholm,Markim,Markim
26868,Nvnashamn,Stockholm,Nvnashamn,Nynashamn
26906,Garn,Stockholm,Garn,Garn
26924,Djursh:olm,Stockholm,Djursh:olm,Djursholm
26933,Stock'sund,Stockholm,Stock'sund,Stocksund
27036,Saltsjobad.en,Stockholm,Saltsjobad.en,Saltsjobaden
27065,Ossebygarn,Stockholm,Ossebygarn,Osseby-Garn
27071,Husby-Lyhundra,Stockholm,Husby-Lyhundra,Husby-lyhundra
27085,Lunda,Stockholm,Lunda,Lunda
27147,Ska,Stockholm,Ska,Ska
27151,Djursholm.,Stockholm,Djursholm.,Djursholm
27159,Ofverjarna,Stockholm,Ofverjarna,Overjarna
27229,Frosunda,Stockholm,Frosunda,Frosunda
27301,Orkesta,Stockholm,Orkesta,Orkesta
27347,Faren- tuna,Stockholm,Faren- tuna,Farentuna
27409,Ro,Stockholm,Ro,Ro
27469,Ham- marby,Stockholm,Ham- marby,Hammarby
27532,Nynas- hamn,Stockholm,Nynas- hamn,Nynashamn
27555,Riala,Stockholm,Riala,Riala
27603,Ytter-Jarna,Stockholm,Ytter-Jarna,Ytterjarna
27611,Sundby- berg,Stockholm,Sundby- berg,Sundbyberg
27710,So- dertalje,Stockholm,So- dertalje,Sodertalje
27736,Osterha- ninge,Stockholm,Osterha- ninge,Osterhaninge
27852,Fasterna,Stockholm,Fasterna,Fasterna
27854,Djurshoim,Stockholm,Djurshoim,Djursholm
27859,Gustatsberg,Stockholm,Gustatsberg,Gustavsberg
27901,Brannkyrka.,Stockholm,Brannkyrka.,Brannkyrka
27931,Sol- lentuna,Stockholm,Sol- lentuna,Sollentuna
28024,Radmanso,Stockholm,Radmanso,Radmanso
28100,Va- sterhaninge,Stockholm,Va- sterhaninge,Vasterhaninge
28112,Thuringe,Stockholm,Thuringe,Turinge
28127,Lidingo.,Stockholm,Lidingo.,Lidingo
28210,Brom- ma,Stockholm,Brom- ma,Bromma
28282,Orno,Stockholm,Orno,Orno
28335,Otverjarna,Stockholm,Otverjarna,Overjarna
28612,Roslagsbro,Stockholm,Roslagsbro,Roslags-Bro
28726,Osseby-Garn,Stockholm,Osseby-Garn,Osseby-Garn
28834,Oster-Talje,Stockholm,Oster-Talje,Ostertalje
28838,Skanella,Stockholm,Skanella,Skanela
29074,Ljustero,Stockholm,Ljustero,Ljustero
29076,Roslags- kulla,Stockholm,Roslags- kulla,Roslags-Kulla
38724,Klackeberga,Kalmar ,Klackeberga),Klackeberga
51129,Hjortsberga,Blekinge lan ,Hjortsberga,Hjortsberga
51131,Jamshog,Blekinge lan ,Jamshog,Jamshog
51133,Mjallby,Blekinge lan ,Mjallby,Mjallby
51134,Ronneby,Blekinge lan ,Ronneby,Ronneby
51136,Losen,Blekinge lan ,Losen,Losen
