parish,county
Barnhusförsamlingen,Stockholms
Barsebäck,Skåne
Bårslöv,Skåne
Barva,Södermanlands
Båstad,Kristianstads
Bastorp,Skåne
Bastuträsks kbfd,Västerbottens
Bäve,Västra Götalands
Beateberg,Skaraborgs
Bellö,Jönköpings
Benestad,Kristianstads
Bengtsfors,Älvsborgs
Berg,Skaraborgs
Berg,Västmanlands
Berg,Jämtlands
Berg,Kronobergs
Berga,Skaraborgs
Berga,Kronobergs
Berga,Kalmar
Berghem,Älvsborgs
Bergshammar,Södermanlands
Bergsjö,Gävleborgs
Bergsjön,Västra Götalands
Bergsjöns kbfd,Västra Götalands
Bergstena,Älvsborgs
Bergum,Västra Götalands
Bergunda,Kronobergs
Bergvik,Gävleborgs
Bettna,Södermanlands
Billeberga,Skåne
Billinge,Skåne
Billingsfors bruksförsamling,Älvsborgs
Bingsjö-Dådran,Dalarnas
Binneberg,Skaraborgs
Biskopsgården,Västra Götalands
Biskopsgårdens kbfd,Västra Götalands
Biskopskulla,Uppsala
Bitterna,Skaraborgs
Bjälbo,Östergötlands
Bjällerup,Skåne
Bjärby,Skaraborgs
Bjäresjö,Skåne
Bjärka,Skaraborgs
Bjärklunda,Skaraborgs
Bjärshög,Skåne
Bjärtrå,Västernorrlands
Bjättlunda,Älvsborgs
Björka,Skåne
Björke,Gotlands
Björkeberg,Östergötlands
Björketorp,Västra Götalands
Björklinge,Uppsala
Björkö,Jönköpings
Björkö-Arholma,Stockholms
Björksele,Västerbottens
Björksele kbfd,Västerbottens
Björksta,Västmanlands
Björkvik,Södermanlands
Björlanda,Västra Götalands
Björna,Västernorrlands
Björnekulla,Kristianstads
Björnlunda,Södermanlands
Björsäter,Skaraborgs
Björsäter,Östergötlands
Björskog,Västmanlands
Bjuråker,Gävleborgs
Bjurbäck,Skaraborgs
Bjurholm,Västerbottens
Bjursås,Dalarnas
Bjurtjärn,Värmlands
Bjurum,Skaraborgs
Bjurum,Skaraborgs
Bjuv,Skåne
Blacksta,Södermanlands
Blackstad,Kalmar
Bladåker,Uppsala
Blädinge,Kronobergs
Blåvik,Östergötlands
Blentarp,Skåne
Blidö,Stockholms
Blidsberg,Älvsborgs
Blomskog,Värmlands
Bo,Örebro
Boda,Värmlands
Boda,Dalarnas
Böda,Kalmar
Bodafors kbfd,Jönköpings
Bodarp,Skåne
Bodens kbfd,Norrbottens
Bodsjö,Jämtlands
Bodum,Jämtlands
Boge,Gotlands
Bogen,Värmlands
Boglösa,Uppsala
Bogsta,Södermanlands
Bohusläns regemente,Västra Götalands
Böja,Skaraborgs
Bokenäs,Västra Götalands
Boliden,Västerbottens
Bolidens kbfd,Västerbottens
Bollebygd,Älvsborgs
Bollerup,Kristianstads
Bollnäs,Gävleborgs
Bolmsö,Kronobergs
Bolshög,Kristianstads
Bolstad,Älvsborgs
Bolum,Skaraborgs
Bolum,Skaraborgs
Bonderup,Skåne
Bondstorp,Jönköpings
Böne,Älvsborgs
Boo,Stockholms
Borås Caroli,Älvsborgs
Borås Gustav Adolf,Älvsborgs
Borga,Skaraborgs
Borgeby,Skåne
Borgerskapets änkhus,Stockholms
Borgholm,Kalmar
Borgsjö,Västernorrlands
Borgsjö kbfd,Västernorrlands
Borgstena,Älvsborgs
Borgunda,Skaraborgs
Borgvattnet,Jämtlands
Borgvik,Värmlands
Börje,Uppsala
Borlänge kbfd,Dalarnas
Borlunda,Skåne
Borrby,Kristianstads
Borrie,Skåne
Börringe,Skåne
Börrum,Östergötlands
Börstig,Skaraborgs
Börstil,Uppsala
Bosarp,Skåne
Bösarp,Skåne
Bosebo,Jönköpings
Bosjökloster,Skåne
Boteå,Västernorrlands
Boteå utom Gålsjö,Västernorrlands
Botilsäter,Värmlands
Botkyrka,Stockholms
Botkyrka kbfd,Stockholms
Bottna,Västra Götalands
Bottnaryd,Jönköpings
Bräcke,Jämtlands
Bräkne-Hoby,Blekinge
Brålanda,Älvsborgs
Brämaregården,Västra Götalands
Brämaregårdens kbfd,Västra Götalands
Brämhult,Älvsborgs
Brandstad,Skåne
Brandstorp,Skaraborgs
Brännkyrka,Stockholms
Brännkyrka kbfd,Stockholms
Brastad,Västra Götalands
Brätte,Älvsborgs
Bråttensby,Älvsborgs
Brattfors,Värmlands
Breared,Hallands
Bred,Uppsala
Bredared,Hallands
Bredared,Älvsborgs
Bredaryd,Jönköpings
Bredestad,Jönköpings
Bredsäter,Skaraborgs
Bredsätra,Kalmar
Brevens bruk,Örebro
Brevik,Skaraborgs
Bringetofta,Jönköpings
Brismene,Skaraborgs
Bro,Stockholms
Bro,Västra Götalands
Bro,Värmlands
Bro,Gotlands
Broby,Skaraborgs
Broby,Östergötlands
Broddarp,Älvsborgs
Broddetorp,Skaraborgs
Bromma,Skåne
Bromma,Stockholms
Bromma kbfd,Stockholms
Brönnestad,Kristianstads
Brösarp,Kristianstads
Brunflo,Jämtlands
Brunn,Älvsborgs
Brunnby,Skåne
Brunneby,Östergötlands
Brunnhem,Skaraborgs
Brunskog,Värmlands
Brunskogs östra kbfd,Värmlands
Brunskogs västra kbfd,Värmlands
Bunge,Gotlands
Bunkeflo,Skåne
Bureå,Västerbottens
Burlöv,Skåne
Burs,Gotlands
Burseryd,Jönköpings
Burträsk,Västerbottens
Buttle,Gotlands
By,Värmlands
By,Dalarnas
Byarum,Jönköpings
Bygdeå,Västerbottens
Bygdeå kbfd,Västerbottens
By kbfd,Dalarnas
Byske,Västerbottens
Correctionsinrättningen,Västra Götalands
Correctionsinrättningen,Stockholms
Dädesjö,Kronobergs
Dådran,Dalarnas
Dagsås,Hallands
Dagsberg,Östergötlands
Dagstorp,Skåne
Dal,Västernorrlands
Dala,Skaraborgs
Dalarö,Stockholms
Dalarö skans,Stockholms
Dalby,Skåne
Dalby,Värmlands
Dalby,Uppsala
Dalhem,Kalmar
Dalhem,Gotlands
Dalköpinge,Skåne
Dalsby fjärding,Dalarnas
Dals-Ed,Älvsborgs
Dalskog,Älvsborgs
Dalstorp,Älvsborgs
Dalum,Älvsborgs
Danderyd,Stockholms
Danmark,Uppsala
Dannäs,Jönköpings
Dannemora,Uppsala
Dannike,Älvsborgs
Dänningelanda,Kronobergs
Danviks hospital och Sicklaö,Stockholms
Daretorp,Skaraborgs
Degeberga,Kristianstads
Degerfors,Örebro
Degerfors kbfd,Västerbottens
Delsbo,Gävleborgs
Dikanäs kbfd,Västerbottens
Dillnäs,Södermanlands
Dimbo,Skaraborgs
Dingtuna,Västmanlands
